book_id,title,author,description
1,Business Book 1,Author 29,Negotiation tactics and leadership strategies for managers.
2,Children Book 2,Author 21,A curious cat explores the city and learns about friendship.
3,Business Book 3,Author 19,Negotiation tactics and leadership strategies for managers.
4,Business Book 4,Author 11,How startups scale products and build strong teams.
5,Children Book 5,Author 36,A curious cat explores the city and learns about friendship.
6,Children Book 6,Author 3,A magical school adventure for kids with puzzles and fun.
7,History Book 7,Author 2,An account of ancient empires and the wars that shaped the world.
8,Children Book 8,Author 30,A magical school adventure for kids with puzzles and fun.
9,History Book 9,Author 21,A deep dive into the political revolutions of the 20th century.
10,Fantasy Book 10,Author 58,Dragons rise again as an ancient prophecy awakens in the north.
11,History Book 11,Author 44,An account of ancient empires and the wars that shaped the world.
12,Horror Book 12,Author 27,"A haunted house whispers at night, luring visitors inside."
13,Poetry Book 13,Author 28,Minimalist poems inspired by nature and silence.
14,Mystery Book 14,Author 55,A missing diary reveals clues to an old family crime.
15,Science Fiction Book 15,Author 57,An AI gains consciousness and changes the future of Earth.
16,Mystery Book 16,Author 51,A detective investigates a series of murders in a quiet town.
17,Business Book 17,Author 9,How startups scale products and build strong teams.
18,Business Book 18,Author 4,Negotiation tactics and leadership strategies for managers.
19,Horror Book 19,Author 14,A village faces a terrifying creature in the woods.
20,Romance Book 20,Author 9,A long-distance relationship is tested by secrets and time.
21,Poetry Book 21,Author 2,"A collection of poems about love, loss, and hope."
22,Science Fiction Book 22,Author 47,An AI gains consciousness and changes the future of Earth.
23,Business Book 23,Author 8,Negotiation tactics and leadership strategies for managers.
24,Mystery Book 24,Author 17,A missing diary reveals clues to an old family crime.
25,Science Fiction Book 25,Author 40,An AI gains consciousness and changes the future of Earth.
26,Science Fiction Book 26,Author 6,An AI gains consciousness and changes the future of Earth.
27,History Book 27,Author 4,A deep dive into the political revolutions of the 20th century.
28,History Book 28,Author 18,An account of ancient empires and the wars that shaped the world.
29,Poetry Book 29,Author 34,Minimalist poems inspired by nature and silence.
30,Poetry Book 30,Author 36,Minimalist poems inspired by nature and silence.
31,Children Book 31,Author 23,A magical school adventure for kids with puzzles and fun.
32,Horror Book 32,Author 40,A village faces a terrifying creature in the woods.
33,Self-Help Book 33,Author 45,Learn to manage anxiety with simple routines and mindset shifts.
34,Romance Book 34,Author 53,Two strangers meet in a small cafe and find love against all odds.
35,Children Book 35,Author 25,A magical school adventure for kids with puzzles and fun.
36,Horror Book 36,Author 15,"A haunted house whispers at night, luring visitors inside."
37,Fantasy Book 37,Author 7,A young hero discovers a hidden kingdom and must defeat a dark sorcerer.
38,Horror Book 38,Author 1,A village faces a terrifying creature in the woods.
39,Children Book 39,Author 11,A magical school adventure for kids with puzzles and fun.
40,Mystery Book 40,Author 8,A detective investigates a series of murders in a quiet town.
41,Mystery Book 41,Author 33,A detective investigates a series of murders in a quiet town.
42,Self-Help Book 42,Author 39,Learn to manage anxiety with simple routines and mindset shifts.
43,Poetry Book 43,Author 28,"A collection of poems about love, loss, and hope."
44,Business Book 44,Author 8,How startups scale products and build strong teams.
45,Romance Book 45,Author 48,Two strangers meet in a small cafe and find love against all odds.
